title,time,summary
Thừa Thiên Huế: Tổng kim ngạch XNK quý I/2018 tăng 9% so với cùng kỳ,31/03/2018 - 10:07,"(eFinance Online) - Cục Hải quan Thừa Thiên Huế vừa cho biết, kim ngạch xuất nhập khẩu (XNK) quý I/2018 đạt hơn 240.801.628 USD, trọng lượng là 209.862,48 tấn, tăng 9% so với kim ngạch XNK cùng kỳ năm 2017. Trong đó, kim ngạch xuất khẩu là hơn 145.360.004 USD, kim ngạch nhập khẩu là hơn 95.441.623 USD."
Tập trung triển khai quyết liệt các biện pháp điều hành giá,31/03/2018 - 09:34,"(eFinance Online) - Ngày 30/3, Bộ trưởng Bộ Tài chính Đinh Tiến Dũng, Phó Trưởng Ban Chỉ đạo điều hành giá đã ký thông báo kết luận của Phó Thủ tướng Vương Đình Huệ, Trưởng Ban Chỉ đạo điều hành giá tại cuộc họp Ban Chỉ đạo ngày 27/3/2018."
Đồng Tháp: Thu NSNN tháng 3 đạt 1.382 tỷ đồng,31/03/2018 - 09:12,"(eFinance Online) - Sở Tài chính Đồng Tháp vừa cho biết, tính đến ngày 13/3/2018, thu ngân sách nhà nước trên địa bàn tỉnh đạt 1.382 tỷ đồng, bằng 20,65% dự toán và bằng 117,85% so với cùng kỳ năm 2017."
Việt Nam – Campuchia hợp tác trong lĩnh vực hải quan,19/03/2018 - 19:11,"(eFinance Online) - Thực hiện chương trình hợp tác quốc tế năm 2018 và nhận lời mời của Tổng cục Hải quan Việt Nam, đoàn đại biểu Hải quan Campuchia do ông Kun Nhem, Thành viên Chính phủ Hoàng gia Campuchia phụ trách Tổng cục Hải quan và Thuế gián Thu Campuchia dẫn đầu sang thăm và làm việc tại Việt Nam từ ngày 19-21 tháng 3/2018."
"Không sử dụng vốn vay ODA, vốn vay ưu đãi để mua sắm xe ô tô",15/03/2018 - 09:32,"(eFinance Online) - Ngày 14/3/2018, Bộ Tài chính đã ban hành Công văn số 2850/BTC-QLCS, hướng dẫn việc mua sắm tài sản công từ nguồn ngân sách nhà nước năm 2018."
Tiếp tục cải cách quy trình thu NSNN bằng ứng dụng CNTT,13/03/2018 - 10:34,"(eFinance Online) - Thời gian qua, Bộ Tài chính tiếp tục đẩy mạnh cải cách hành chính, cải thiện môi trường kinh doanh, nâng cao năng lực cạnh tranh quốc gia theo các nghị quyết của Chính phủ số 19-2017/NQ-CP, số 35/NQ-CP, số 36a/NQ-CP."
"Thu ngân sách nhà nước 2 tháng đầu năm đạt 215,76 nghìn tỷ đồng",13/03/2018 - 08:21,"(eFinance Online) - Theo báo cáo của Bộ Tài chính, thực hiện thu cân đối NSNN tháng 02 ước đạt 78,9 nghìn tỷ đồng. Lũy kế thu 2 tháng đầu năm đạt 215,76 nghìn tỷ đồng, bằng 16,1% dự toán năm, tăng 12,7% so với cùng kỳ năm 2017."
CPTPP thúc đẩy cải cách trong nước,12/03/2018 - 16:15,"(eFinance Online) - The báo cáo ""Tác động kinh tế và phân bổ thu nhập của Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương"" vừa được Ngân hàng Thế giới công bố gần đây cho biết, Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP) sẽ mang lại nhiều lợi ích kinh tế to lớn cho Việt Nam."
"Thu cân đối NSNN tháng 2 ước đạt 78,9 nghìn tỷ đồng",09/03/2018 - 18:11,"(eFinance Online) -Báo cáo mới nhất của Bộ Tài chính cho biết, thực hiện thu cân đối NSNN tháng 2 ước đạt 78,9 nghìn tỷ đồng. Lũy kế thu 2 tháng đạt 215,76 nghìn tỷ đồng, bằng 16,1% dự toán năm, tăng 12,7% so với cùng kỳ năm 2017."
Tiêu chí đánh giá hiệu quả đầu tư vốn nhà nước tại tổ chức tín dụng,08/03/2018 - 09:39,"(eFinance Online) - Bộ Tài chính vừa ban hành Thông tư số 12/2018/TT-BTC hướng dẫn một số nội dung về giám sát tài chính, đánh giá hiệu quả đầu tư vốn nhà nước tại tổ chức tín dụng (TCTD) do Nhà nước nắm giữ 100% vốn điều lệ và tổ chức tín dụng do Nhà nước nắm giữ trên 50% vốn điều lệ. Thông tư số 12/2018/TT-BTC có hiệu lực thi hành từ ngày 19/3/2018 và được áp dụng từ năm tài chính 2018."
"Chế độ tài chính đối với tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",08/03/2018 - 09:24,"(eFinance Online) - Bộ Tài chính vừa ban hành Thông tư số 16/2018/TT-BTC, hướng dẫn một số điều về chế độ tài chính đối với tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
