title,time,init,link,paraContainKeyword
"Giá vàng miếng tuột mốc 37 triệu đồng/lượng, USD tự do tăng thêm",28/03/2018 11:29,"So với giá vàng thế giới quy đổi, giá vàng miếng SJC bán lẻ sáng nay rẻ hơn khoảng 50.000-80.000 đồng/lượng...",http://vneconomy.vn/gia-vang-mieng-tuot-moc-37-trieu-dong-luong-usd-tu-do-tang-them-20180328111517157.htm,"Lúc hơn 10h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,82 triệu đồng/lượng (mua vào) và 36,92 triệu đồng/lượng (bán ra). So với cuối giờ giao dịch hôm qua, giá vàng SJC tại doanh nghiệp này hiện giảm 80.000 đồng/lượng."
MB hoàn thành vượt mức kế hoạch kinh doanh năm 2017,27/03/2018 18:00,Ngân hàng Thương mại Cổ phần Quân đội (MB) vừa công bố báo cáo tài chính hợp nhất sau kiểm toán 2017...,http://vneconomy.vn/mb-hoan-thanh-vuot-muc-ke-hoach-kinh-doanh-nam-2017-20180327155138549.htm,"Điểm sáng trong hoạt động kinh doanh năm 2017 là việc tỷ lệ thu nhập lãi thuần (NIM) của ngân hàng đã tăng ấn tượng (đứng thứ 02 thị trường) từ 3,2% ( năm 2016) lên mức 3,8% (năm 2017) nhờ chi phí giá vốn tốt, hoạt động cho vay được mở rộng sang các mảng tiêu dùng, bán lẻ, nên mặc dù cho vay khách hàng chỉ tăng trưởng 22% song lãi thuần lại tăng mạnh gấp gần hai lần."
“Chung cư chỉ bị ảnh hưởng ngắn hạn sau sự cố cháy”,09/04/2018 08:39,"Theo Hiệp hội bất động sản Tp.HCM, thị trường dần phục hồi khi chủ đầu tư tăng chất lượng phòng cháy vì đây là phân khúc vừa túi tiền...",http://vneconomy.vn/chung-cu-chi-bi-anh-huong-ngan-han-sau-su-co-chay-20180408230228841.htm,"Nguyên nhân do việc phát triển chung cư là xu thế tất yếu của thị trường trong quá trình đô thị hóa. Ví dụ tại Singapore, 85% dân số sống trong nhà cao tầng. Tỷ lệ này tại các nước châu Âu, Bắc Mỹ 60-70%. Nhu cầu lựa chọn sống trong căn hộ chung cư rất lớn và đang tăng theo thời gian"
Grab nói không chịu trách nhiệm khoản nợ thuế 53 tỷ của Uber,06/04/2018 15:47,Grab khẳng định không chịu trách nhiệm trả khoản nợ 53 tỷ đồng của Uber đang nợ Cục Thuế Tp.HCM...,http://vneconomy.vn/grab-noi-khong-chiu-trach-nhiem-khoan-no-thue-53-ty-cua-uber-20180406092201147.htm,"Riêng về khoản thuế chuyển nhượng thì đây là thương vụ của cả khu vực, nên sẽ phải xem xét lại giá trị của mỗi thị trường ra sao, để tính toán."
FLC chính thức đề xuất làm BOT sân bay quốc tế Đồng Hới - Quảng Bình,08/04/2018 18:23,"Tập đoàn FLC đề xuất được tham gia đầu tư xây dựng, nâng cấp sân bay quốc tế Đồng Hới theo hình thức BOT...",http://vneconomy.vn/flc-chinh-thuc-de-xuat-lam-bot-san-bay-quoc-te-dong-hoi-quang-binh-20180408182320684.htm,"Đây là hãng hàng không có hướng đi riêng, khác biệt, khi kết  nối trực tiếp thị trường quốc tế và trong nước tới các điểm đến đang  lên của Việt Nam như Quy Nhơn, Quảng Ninh, Hải Phòng, Thanh Hóa, Quảng Bình...  - những điểm đến vốn chưa phát triển về hạ tầng khiến việc đi lại lâu nay vẫn đứng  trước tình trạng đắt đỏ, khó khăn và thậm chí bất lợi về giờ giấc."
Toan tính mới của taxi truyền thống sau thương vụ Grab mua Uber,08/04/2018 10:52,Các hãng taxi truyền thống toan tính gì sau thương vụ Grab thâu tóm Uber Đông Nam Á?...,http://vneconomy.vn/toan-tinh-moi-cua-taxi-truyen-thong-sau-thuong-vu-grab-mua-uber-20180406175541706.htm,"Đồng quan điểm trên, ông Nguyễn Công Hùng - Chủ tịch Hiệp hội taxi Hà Nội chỉ ra rằng, Grab và Uber sử dụng một nguồn vốn khổng lồ để thôn tính thị trường. Ban đầu, họ tạo ứng dụng để thu hút người tiêu dùng kèm theo đó là các chương trình khuyến mại cực lớn, điều mà taxi truyền thống không thể đáp ứng được bởi phải nộp thuế cao hơn nhiều."
"“Sản xuất nông sản phải phù hợp năng lực, không phải làm ào ào”",09/04/2018 17:18,"Thủ tướng cho rằng, để phát triển bền vững, ngành nông nghiệp cần xây dựng quy hoạch sản xuất theo vùng, làm sao sản xuất phù hợp với năng lực, điều kiện địa phương...",http://vneconomy.vn/san-xuat-nong-san-phai-phu-hop-nang-luc-khong-phai-lam-ao-ao-20180409163610342.htm,"Cùng với đó, từ Chính phủ, Quốc hội đến các đoàn  công tác bộ ngành đi đâu cũng tìm thị trường, giới thiệu doanh nghiệp, nông sản  củ quả của Việt Nam."
Vụ vỡ đường dây tiền ảo: 4 tháng huy động 15.000 tỷ?,09/04/2018 20:57,"Chỉ trong hơn 4 tháng với cam kết lãi suất trên trời, một công ty non trẻ như Modern Tech đã huy động được 15.000 tỷ đồng?...",http://vneconomy.vn/vu-vo-duong-day-tien-ao-4-thang-huy-dong-15000-ty-20180409184508249.htm,"Giới đầu tư hẳn vẫn chưa quên vụ lừa đảo lớn nhất trên thị trường tiền ảo Bitconnect tại Mỹ gần đây khi sàn tiền ảo này bất ngờ tuyên bố đóng cửa, hơn 53.000 người tham gia có nguy cơ mất trắng tiền đầu tư."
Thanh khoản chung cư giảm mạnh tại Hà Nội và Tp.HCM,09/04/2018 09:06,"Lượng giao dịch căn hộ chung cư quý 1/2018 tại Hà Nội và Tp.HCM đều giảm mạnh, từ 25 - 34% so với quý 4/2017 ...",http://vneconomy.vn/thanh-khoan-chung-cu-giam-manh-tai-ha-noi-va-tphcm-20180409085433471.htm,"Một  trong những điểm đáng chú ý của thị trường quý 1 là sự hoạt động khá ổn định của  hầu hết các phân khúc, song lượng giao dịch căn hộ chung cư đã giảm khá mạnh tại  Hà Nội lẫn Tp.HCM."
Detox & Healthy: Chuẩn mới của căn hộ cao cấp,10/04/2018 08:01,Căn hộ cao cấp hiện nay được định vị bởi tiêu chuẩn chăm sóc sức khỏe toàn diện và bảo vệ an toàn cho cư dân...,http://vneconomy.vn/detox-healthy-chuan-moi-cua-can-ho-cao-cap-20180409211949827.htm,"Khoảng thời gian từ năm 2014 - 2016, căn hộ cao cấp chuyển hướng phát triển sang phong cách nước ngoài như Nhật Bản, Singapore… Cũng trong thời gian này, thị trường gây chú ý bởi sự ra đời của các căn hộ ""chuẩn xanh"" Leed, Lotus. Diamond Lotus Riverside, Diamond Lotus Lakeview… là những dự án một thời rầm rộ trên thị trường."
Mở bán dự án Bảo Lộc Golden City với nhiều ưu đãi,10/04/2018 09:00,Bảo Lộc Golden City do chủ đầu tư Era Holdings và công ty Gia Phát là đơn vị phát triển dự án được đầu tư bài bản về tiện ích và thiết kế...,http://vneconomy.vn/mo-ban-du-an-bao-loc-golden-city-voi-nhieu-uu-dai-20180405182757894.htm,"Bên cạnh đó chủ đầu tư cam kết hỗ trợ tài chính lên đến 70% và lãi suất chỉ 5%/năm. Với những chính sách ưu đãi trên, vừa giới thiệu ra thị trường Bảo Lộc Golden City đã nhận sự đón nhận của đông đảo khách hàng. Sau 1 tuần mở bán 90% sản phẩm trong rổ hàng đợt 1 đã được giữ chỗ thành công."
"Sau nhiều sự cố cháy chung cư, thị trường căn hộ vẫn giao dịch sôi động",10/04/2018 10:42,Số lượng căn hộ mở bán trong quý 1 lên tới 9.503 và có 9.260 căn được tiêu thụ...,http://vneconomy.vn/sau-nhieu-su-co-chay-chung-cu-thi-truong-can-ho-van-giao-dich-soi-dong-20180410103323394.htm,"Có thể thấy, thị trường căn hộ tại Tp.HCM vẫn diễn ra sôi động và không có dấu hiệu bị ảnh hưởng bởi tin tức về các vụ cháy nổ chung cư thời gian gần đây."
"Mở rộng sân bay, địa ốc khu vực Tân Bình - Tân Phú thêm sức hút?",11/04/2018 09:34,Hạ tầng giao thông đóng vai trò quan trọng đối với giá trị của ngành địa ốc...,http://vneconomy.vn/mo-rong-san-bay-dia-oc-khu-vuc-tan-binh-tan-phu-them-suc-hut-20180411080827375.htm,"Có thể nói, 2018 hứa hẹn sẽ là một năm sôi động của thị trường phía Tây, đặc biệt là đối với hai quận liền kề sân bay là Tân Phú và Tân Bình, không chỉ bởi những quy hoạch hạ tầng hiện hữu mà còn vì giá trị bất động sản đang tăng dần theo thời gian."
Dự án The Diamond Park Mê Linh có thêm nhiều chủ sau ngày mở bán,11/04/2018 10:00,"The Diamond Park - tổ hợp dự án khu đô thị đất nền biệt thự, chung cư được xây dựng với tâm huyết của chủ đầu tư Công ty Cổ phần Tập đoàn VIDEC...",http://vneconomy.vn/du-an-the-diamond-park-me-linh-co-them-nhieu-chu-sau-ngay-mo-ban-20180411081713152.htm,"Phân tích về sự phát triển thị trường bất động sản ""ăn theo"" cơ sở hạ tầng, chuyên gia của Tập đoàn Tư vấn và quản lý bất động sản (CBRE) Việt Nam cho biết, để phát triển bất động sản, trước tiên, phải có quy hoạch kết cấu hạ tầng tổng thể, từ toàn bộ thành phố, xuống quận, phường; sau đó là quy hoạch chi tiết cho từng khu đất."
5 điểm đến không nên bỏ lỡ tại FLC Lux City - The Ocean Village ở Quảng Bình,11/04/2018 10:19,"Khu đô thị FLC Lux City - The Ocean Village vừa được ra mắt, đã cho thấy bộ sưu tập nhiều dịch vụ đáng để quan tâm...",http://vneconomy.vn/5-diem-den-khong-nen-bo-lo-tai-flc-lux-city-the-ocean-village-o-quang-binh-20180411101914479.htm,"Có nhiều lý do để thị trường chọn lối rẽ mới văn minh và có phần cao cấp hơn này. Ưu điểm rõ ràng nhất là khả năng kéo dài thời gian lưu trú của khách du lịch, cũng như nâng tầm giá trị các sản phẩm bất động sản nội khu. "
FLC mang cơ hội hợp tác toàn diện cho các đại lý bất động sản phía Nam,11/04/2018 16:24,"""Năm 2017, doanh thu nhiều dự án nghỉ dưỡng của chúng tôi đạt mức kỷ lục""...",http://vneconomy.vn/flc-mang-co-hoi-hop-tac-toan-dien-cho-cac-dai-ly-bat-dong-san-phia-nam-20180411154210612.htm,"""Chúng tôi đang có kế hoạch mở rộng hệ thống phân phối về phía Nam với mục tiêu tìm kiếm những đối tác chiến lược mới tại một trong những thị trường bất động sản sôi động nhất cả nước. Đó là lý do FLC đã ""Nam tiến"" với việc mở văn phòng đại diện tại số 86 - 88 Nguyễn Công Trứ, quận 1, Tp.HCM từ cuối năm 2017"", đại diện FLC cho biết."
Giá vàng miếng chạm 37 triệu đồng/lượng,26/03/2018 11:20,"Từ chỗ đắt hơn, vàng miếng SJC sáng nay rẻ hơn vàng thế giới khoảng 50.000 đồng/lượng...",http://vneconomy.vn/gia-vang-mieng-cham-37-trieu-dong-luong-20180326111046635.htm,"Lúc gần 11h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,9 triệu đồng/lượng (mua vào) và 36,98 triệu đồng/lượng (bán ra). So với cuối giờ giao dịch ngày Chủ nhật, giá vàng miếng SJC tại doanh nghiệp này hiện ngang bằng. Tuy nhiên, lúc đầu giờ, giá vàng miếng bán ra đã được DOJI nâng lên 37 triệu đồng/lượng."
"Giá vàng, USD tự do và ngân hàng cùng đi lên",27/03/2018 11:19,"Giá vàng trong nước biến động đáng kể mấy ngày gần đây, phá vỡ xu hướng lình xình kéo dài từ đầu tháng...",http://vneconomy.vn/gia-vang-usd-tu-do-va-ngan-hang-cung-di-len-20180327110024859.htm,"Lúc hơn 10h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,98 triệu đồng/lượng (mua vào) và 37,06 triệu đồng/lượng (bán ra). So với cuối giờ giao dịch hôm qua, giá vàng miếng SJC tại doanh nghiệp này hiện tăng 80.000 đồng/lượng."
VietinBank cung ứng dịch vụ kết nối khách hàng trên nền tảng số hóa,27/03/2018 13:56,VietinBank chính thức thông báo về thỏa thuận hợp tác với công ty Fintech Opportunity Network (ON) cung ứng dịch vụ kết nối khách hàng trên nền tảng số hóa...,http://vneconomy.vn/vietinbank-cung-ung-dich-vu-ket-noi-khach-hang-tren-nen-tang-so-hoa-20180327083442141.htm,"Với việc tham gia dịch vụ kết nối khách hàng, các doanh nghiệp có thể tìm kiếm cơ hội kinh doanh đa dạng như mở rộng thị trường và quảng bá sản phẩm, tìm kiếm đối tác chiến lược kêu gọi tham gia vốn, nhận chuyển giao công nghệ và con người, mua bán sáp nhập (M&A), hợp tác liên doanh cho đến các cơ hội về đầu tư cải tiến máy móc trang thiết bị... từ đó mở rộng hoạt động ở các thị trường mới, tăng cường hợp tác thương mại xuyên biên giới, tối ưu hóa việc sử dụng tài sản, huy động vốn, phát triển kinh doanh trong nước và quốc tế."
"Lãi suất VND liên ngân hàng rơi sâu, tỷ giá USD/VND lên cao",28/03/2018 16:12,"Giá USD tiếp tục tăng lên, trong khi lãi suất VND rơi sâu sau một tháng qua...",http://vneconomy.vn/lai-suat-vnd-lien-ngan-hang-roi-sau-ty-gia-usd-vnd-len-cao-20180328160718437.htm,"Trong khi đó, cũng đã khoảng một năm qua, Ngân hàng Nhà nước vẫn đang duy trì thông điệp bình ổn thị trường, qua việc áp giá USD bán ra luôn thấp hơn trần biên độ một bước để thị trường tham khảo."
"Giá vàng sụt mạnh, USD tự do giữ đà tăng",29/03/2018 11:44,"Từ cuối tuần trước tới nay, giá USD tự do đã tăng khoảng 40 đồng...",http://vneconomy.vn/gia-vang-sut-manh-usd-tu-do-giu-da-tang-20180329113321777.htm,"Lúc gần 11h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,65 triệu đồng/lượng (mua vào) và 36,73 triệu đồng/lượng (bán ra). So với cuối giờ giao dịch hôm qua, giá vàng miếng SJC tại doanh nghiệp này hiện giảm 110.000 đồng/lượng ở chiều mua vào và giảm 130.000 đồng/lượng ở chiều bán ra."
Lợi nhuận ngân hàng khởi động ấn tượng đầu năm 2018,30/03/2018 08:04,Nhiều ngân hàng thương mại ước tính đạt lợi nhuận tốt trong quý 1/2018...,http://vneconomy.vn/loi-nhuan-ngan-hang-khoi-dong-an-tuong-dau-nam-2018-20180330052320666.htm,"Một điểm đáng chú ý khác, theo số liệu của Tổng cục Thống kê vừa công bố, thị trường bảo hiểm tại Việt Nam tiếp tục có tốc độ tăng trưởng cao trong quý 1/2018 - một kênh mang lại nguồn thu lớn cho nhiều ngân hàng thương mại trong 2017 cũng như triển vọng 2018."
"Mỹ áp lệnh trừng phạt, giới tài phiệt Nga ""bốc hơi"" 16 tỷ USD",10/04/2018 12:05,Lệnh trừng phạt mới của Mỹ nhắm vào các tài phiệt Nga đã khiến thị trường chứng khoán nước này chao đảo trong phiên giao dịch đầu tuần...,http://vneconomy.vn/my-ap-lenh-trung-phat-gioi-tai-phiet-nga-boc-hoi-16-ty-usd-20180410102555267.htm,"Lệnh trừng phạt trên đồng nghĩa với việc các công ty Nga bị  trừng phạt không được tiếp cận thị trường Mỹ. Ngoài ra, những công ty này cũng  có thể gặp rắc rối ở các thị trường khác nếu đối tác quay lưng lại để tránh rủi  ro."
"Giá vàng và USD ngân hàng cùng tăng, USD tự do giảm thêm",14/03/2018 11:50,Chênh giá mua-bán vàng miếng SJC nhiều nơi tại Hà Nội sáng nay chỉ ở mức 60.000 đồng/lượng...,http://vneconomy.vn/gia-vang-va-usd-ngan-hang-cung-tang-usd-tu-do-giam-them-20180314114214149.htm,"Lúc hơn 11h trưa nay (14/3), Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,68 triệu đồng/lượng (mua vào) và 36,74 (bán ra). So với cuối giờ giao dịch hôm qua, giá vàng miếng SJC tại doanh nghiệp này hiện tăng 60.000 đồng/lượng ở chiều mua vào và tăng 40.000 đồng/lượng ở chiều bán ra."
"Giá vàng lình xình, USD tự do tụt dưới 22.800 đồng",13/03/2018 11:36,"Dù rẻ hơn vàng trang sức 999,9, vàng miếng SJC hiện nay vẫn không hấp dẫn được người dân và nhà đầu tư...",http://vneconomy.vn/gia-vang-linh-xinh-usd-tu-do-tut-duoi-22800-dong-20180313112512633.htm,"Lúc hơn 11h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,63 triệu đồng/lượng (mua vào) và 36,71 triệu đồng/lượng (bán ra). So với cuối giờ giao dịch hôm qua, giá vàng miếng SJC tại doanh nghiệp này hiện tăng 10.000 đồng/lượng."
Vietcombank có thể không thoái hết vốn tại Eximbank và MB,16/03/2018 08:00,"Vietcombank bắt buộc thoái vốn đầu tư tại Eximbank và MB, nhưng không phải toàn bộ...",http://vneconomy.vn/vietcombank-co-the-khong-thoai-het-von-tai-eximbank-va-mb-20180316013952288.htm,"Đó cũng là hai khoản đầu tư đang có giá trị thị trường lớn gấp nhiều lần so với giá trị đầu tư ban đầu của Vietcombank, đặc biệt tại MB với đà tăng giá cổ phiếu thời gian qua."
"Giá vàng miếng đi ngang, USD tự do vượt 22.800 đồng",16/03/2018 11:14,"Trái với sự ổn định của giá USD ngân hàng, giá USD tự do tuần này biến động linh hoạt...",http://vneconomy.vn/gia-vang-mieng-di-ngang-usd-tu-do-vuot-22800-dong-20180316110659437.htm,"Lúc hơn 10h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,63 triệu đồng/lượng (mua vào) và 36,71 triệu đồng/lượng (bán ra). So với cuối giờ giao dịch hôm qua, giá vàng miếng SJC tại doanh nghiệp này hiện tăng 30.000 đồng/lượng ở chiều mua vào và giảm 10.000 đồng/lượng ở chiều bán ra."
Dấu ấn của Eurowindow tại Myanmar,20/03/2018 09:36,"Tháng 3/2018, Eurowindow chính thức khai trương văn phòng tại số 275 Yarza thin Gyan, phường 11, quận South Okkalapa, thành phố Yangon, Myanmar...",http://vneconomy.vn/dau-an-cua-eurowindow-tai-myanmar-20180320083512829.htm,"Việc Eurowindow đầu tư vào thị trường Myanmar được Đại sứ Luận Thùy Dương đánh giá rất cao, bà cho hay ""Việc Eurowindow - Nhà cung cấp tổng thể về cửa uy tín số 1 Việt Nam phát triển tại thị trường Myanmar là dấu hiệu rõ ràng về niềm tin mà Eurowindow đã đặt vào Myanmar và là một động lực mạnh mẽ cho sự tăng trưởng trong khu vực""."
Giá mủ cao su tăng do nguồn cung thiếu,20/03/2018 13:22,"Sau một thời gian dài sụt giảm, từ Tết đến nay giá mủ cao su đã tăng trở lại, từ mức 32–33 triệu đồng/tấn lên 39–40 triệu đồng/tấn...",http://vneconomy.vn/gia-mu-cao-su-tang-do-nguon-cung-thieu-20180320004647296.htm,"Trong đó, nhu cầu tiêu thụ cao su của Trung Quốc đang có dấu hiệu tăng nhanh, hiện thị trường này chiếm khoảng 50% sản lượng cao su xuất khẩu của Việt Nam."
EU vượt Mỹ trở thành nơi tiêu thụ thuỷ sản số một của Việt Nam,21/03/2018 17:42,"Trong năm 2017, EU đã vượt qua Mỹ trở thành thị trường nhập khẩu thủy sản lớn nhất của Việt Nam với trị giá đạt 1,46 tỷ USD, tăng 22% so với năm 2016...",http://vneconomy.vn/eu-vuot-my-tro-thanh-noi-tieu-thu-thuy-san-so-mot-cua-viet-nam-2018032111460489.htm,"Trong năm 2017, EU đã vượt qua Mỹ trở thành thị trường nhập khẩu thủy sản lớn nhất của Việt Nam với trị giá đạt 1,46 tỷ USD, tăng 22% so với năm 2016."
"Uống phải rượu giả, 80 người Indonesia thiệt mạng trong 1 tháng",10/04/2018 22:56,"Loại rượu này chứa các thành phần như nước tăng lực, Coca-Cola hay thậm chí cả thuốc ho và thuốc diệt muỗi...",http://vneconomy.vn/uong-phai-ruou-gia-80-nguoi-indonesia-thiet-mang-trong-1-thang-20180410204259191.htm,"Thuế đồ uống có cồn cao là nguyên nhân khiến thị trường chợ  đen xuất hiện trong tầng lớp người nghèo tại Indonesia - quốc gia có dân số  theo đạo Hồi đông nhất thế giới. Việc uống rượu tại nước này dù không được khuyến khích nhưng không phải hành vi phạm pháp. Năm 2015, chính quyền Jakarta đã ban hành lệnh cấm bán rượu tại hàng chục nghìn cửa hàng và siêu thị nhỏ trên khắp nước này. "
"Hai ngày tăng 5%, giá dầu thế giới cao nhất 7 tuần",22/03/2018 10:45,"Giá dầu thế giới đang được hỗ trợ bởi nhiều nhân tố, bao gồm lo ngại về căng thẳng địa chính trị ở Trung Đông...",http://vneconomy.vn/hai-ngay-tang-5-gia-dau-the-gioi-cao-nhat-7-tuan-2018032208462856.htm,"Trong phiên ngày thứ Tư, giá dầu thô ngọt nhẹ (WTI) giao sau tại New York tăng 1,63 USD/thùng, tương đương tăng 2,6%, chốt ở mức 65,17 USD/thùng. Tại thị trường London, giá dầu thô Brent tăng 2,05 USD/thùng, tương đương tăng 3%, chốt ở 69,47 USD/thùng."
